"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","DataSetName","SafePosition.AxisPosition","SafePosition.AxisPosition.1","SafePosition.AxisPosition.2","SafePosition.AxisPosition.3","SafePosition.AxisPosition.4","AutomaticShadingCorrection","TallSampleRadius","UseTallSampleROI","ProjectionImageEnhancement","RunVolumeAnalysis","ProfileVersion","filenm"
"1","N_CFRPTube1b","0","277.5618","-151.8302","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2232","1","477","1447","515","1390","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_CFRP_tubes/N_CFRPScr1 [2015-12-11 15.59.41]/N_CFRPScr1.ctprofile.xml"
"2","N_CFRPTube1b","0","280.15","-151.72","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2232","1","477","1447","515","1390","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_CFRP_tubes/N_CFRPScr2 [2015-12-14 13.19.13]/N_CFRPScr2.ctprofile.xml"
"3","N_CFRPTube1b","0","227.23","76.12","0","0","0","190","16","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","1966","1","559","1337","599","1444","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_CFRP_tubes/N_CFRPTube1a [2015-12-08 17.01.51]/N_CFRPTube1a.ctprofile.xml"
"4","N_CFRPTube1b","0","355.4325","76.12","82.9895","0","0","190","16","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2003","1","565","1347","530","1338","0","1994","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_CFRP_tubes/N_CFRPTube1b [2015-12-06 18.24.06]/N_CFRPTube1b.ctprofile.xml"
"5","N_CFRPTube1b","0","231.4172","76.12","82.9895","0","0","190","16","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2003","1","565","1347","530","1338","0","1994","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_CFRP_tubes/N_CFRPTube1c [2015-12-07 12.30.14]/N_CFRPTube1c.ctprofile.xml"
"6","N_CFRPTube1b","0","231.42","-128.46","0","0","0","190","16","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","85","1864","94","1974","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_CFRP_tubes/N_CFRPTube2 [2015-12-08 12.07.50]/N_CFRPTube2.ctprofile.xml"
"7","nadia","0","402.8157","-153.929","0","0","0","300","67","Tin","1","Reflection 320","4","General","false","109","178","238","249","109","178","238","249","0","100","1","34","34","1980","1980","Recursion","2829","4","0","0","0","0","0","0","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","3110","1","743","1940","451","1432","82","1979","100","0","0","true","0","false","false","0","0","0","MainBody1","0","262.5557","-153.929","0","0","false","0","false","None","false","1","Y:/CT data/Alex_Diesel injector/A_MainBody1 [2016-05-16 14.08.33]/MainBody1.ctprofile.xml"
"8",NA,"0","225.4179","-176.5115","0","0","0","200","100","Tin","0.5","Reflection 225","0","Diesel3","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","5","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","2794","1","613","1391","887","1796","725","1279","100","0","0","true","0","false","false","0","0","0","Alex_Ampl_ring2","-107.3844","225.4179","-176.5115","0","0","false","0","false","None","false","0","Y:/CT data/Alex_Diesel injector/Alex_Ampl_ring2 [2016-04-29 01.05.45]/Alex_Ampl_ring2.ctprofile.xml"
"9",NA,"0","402.8157","-153.929","0","0","0","300","67","Tin","1","Reflection 320","4","General","false","109","178","238","249","109","178","238","249","0","100","1","34","34","1980","1980","Recursion","2829","4","0","0","0","0","0","0","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","3110","1","743","1940","451","1432","82","1979","100","0","0","true","0","false","false","0","0","0","Alex_Diesel_Body","0","262.5557","-153.929","0","0","false","0","false","None","false","0","Y:/CT data/Alex_Diesel injector/Alex_Diesel_Body [2016-05-13 13.56.01]/Alex_Diesel_Body.ctprofile.xml"
"10",NA,"0","358.4026","-154.5","0","0","0","200","125","Tin","0.5","Reflection 225","0","Diesel2","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1000","5","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","2057","1","558","1334","718","1483","725","1255","100","0","0","true","0","false","false","0","0","0","Alex_Nozzle_Ring1","-95.3892","358.4026","-154.5","0","0","false","0","false","None","false","0","Y:/CT data/Alex_Diesel injector/Alex_Nozzle_Ring1 [2016-04-28 17.39.35]/Alex_Nozzle_Ring1.ctprofile.xml"
