"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","DataSetName","SafePosition.AxisPosition","SafePosition.AxisPosition.1","SafePosition.AxisPosition.2","SafePosition.AxisPosition.3","SafePosition.AxisPosition.4","AutomaticShadingCorrection","TallSampleRadius","UseTallSampleROI","ProjectionImageEnhancement","RunVolumeAnalysis","ProfileVersion","TallSamplePositions","TallSamplePositions.1","TallSamplePositions.2","filenm"
"1","BAE3000_CaseStudy2_53","0","442.4011","219.4193","-431.9655","0","0","110","107","None","0","Reflection 225","0","Generic","false","11","22","29","151","11","22","29","151","0","100","1","2","20","1996","1996","Histogram","500","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","458","1566","141","1575","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Aegis_DN_Helmet_part2 [2014-10-28 09.50.40]/Aegis_DN_Helmet_part2.ctprofile.xml"
"2","BAE3000_CaseStudy2_53","0","442.4011","219.4193","-514.6952","0","0","110","72","None","0","Reflection 225","0","Generic","false","11","22","29","151","11","22","29","151","0","100","1","2","20","1996","1996","Histogram","708","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Aegis_DN_Helmet_parts [2014-10-28 09.45.09]/Aegis_DN_Helmet_parts.ctprofile.xml"
"3",NA,"0","523.7299","-198.3652","0","0","0","200","37","Tin","0.125","Reflection 225","0","Alex_Batteries1","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","NIKON-373940","false",NA,"true","3135","1","170","1726","151","1774","0","1995","100","0","0","true","0","false","false","0","0","0","Alex_Batteries_Panasonic18650","0","395.4828","-198.3652","-0.0063","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/Alex_Batteries_Panasonic18650 [2016-06-09 16.16.36]/Alex_Batteries_Panasonic18650.ctprofile.xml"
"4",NA,"0","479.1047","-198.3652","0","0","0","200","37","Tin","0.125","Reflection 225","0","Alex_Batteries1","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","NIKON-373940","false",NA,"true","3135","1","85","1695","192","1792","0","1995","100","0","0","true","0","false","false","0","0","0","Alex_Batteries_Panasonic18650_bt","0","395.4828","-198.3652","-0.0063","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/Alex_Batteries_Panasonic18650_bt [2016-06-09 19.53.48]/Alex_Batteries_Panasonic18650_bt.ctprofile.xml"
"5",NA,"0","518.1407","-198.3652","-0.0063","0","0","200","37","Tin","0.125","Reflection 225","0","Alex_Batteries1","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","NIKON-373940","false",NA,"true","3135","1","48","1750","124","1759","0","1917","100","0","0","true","0","false","false","0","0","0","Alex_Batteries_Tesla18650","0","395.4828","-198.3652","-0.0063","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/Alex_Batteries_Tesla18650 [2016-06-01 11.46.22]/Alex_Batteries_Tesla18650.ctprofile.xml"
"6",NA,"0","473.9016","-198.3652","0","0","0","200","37","Tin","0.125","Reflection 225","0","Alex_Batteries1","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","NIKON-373940","false",NA,"true","3135","1","0","1588","124","1759","0","1917","100","0","0","true","0","false","false","0","0","0","Alex_Batteries_Tesla18650_bt","0","395.4828","-198.3652","-0.0063","0","false","0","false","None","false","0",NA,NA,NA,"Y:/CT data/Alex_Batteries_Tesla18650_bt [2016-06-01 15.16.18]/Alex_Batteries_Tesla18650_bt.ctprofile.xml"
"7","CAT_S40_b","0","433.31","208.51","0","0","0","85","269","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","708","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","373","1629","135","1836","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_CF_ACRC [2016-01-12 14.14.58]/Alex_CF_ACRC.ctprofile.xml"
"8","External_saw_tooth_normB","0","494.5","-162.79","0","0","0","220","14","Copper","0.5","Reflection 225","0","Generic","true","2","68","272","76","2","68","272","76","0","100","1","24","24","2000","2000","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","176","1811","810","1902","0","1995","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_ChoppedHoles [2015-02-07 14.00.09]/Alex_ChoppedHoles.ctprofile.xml"
"9","Alex_Gears1","0","467.73","-137.65","0","0","0","220","71","Copper","1","Reflection 225","0","Generic","true","2","68","272","76","2","68","272","76","0","100","1","24","24","2000","2000","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","1894","1","763","1296","474","1481","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_Gears1 [2015-02-08 13.43.50]/Alex_Gears1.ctprofile.xml"
"10","Alex_Gears1_2_1","0","458.4631","-176.8082","-598.7218","0","0","225","67","Tin","1","Reflection 225","0","Generic","true","2","68","272","76","2","68","272","76","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","false","4000","1","587","1365","0","1601","191","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/Alex_Gears1_2_1 [2015-02-09 19.31.05]/Alex_Gears1_2_1.ctprofile.xml"
