"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","filenm"
"1","BAEn1080_CaseStudy1_Prj2_Ult","0","381.3","105.1","0","0","0","215","65","None","0","Reflection 225","0","Generic","true","39","52","80","76","39","52","80","76","0","100","1","0","20","2000","2000","Histogram","2829","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3142","1","478","1355","0","1196","0","1997","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE0030a_PS 2 [2014-02-13 12.41.27]/BAE0030a_PS 2.ctprofile.xml"
"2","Inside-Out_Penumbra_Investigation_x1.63mag_v2","0","452.61","-86.68","0","0","0","200","25","None","0","Reflection 225","0","Generic","true","39","52","159","138","39","52","159","138","0","100","1","0","20","2000","2000","Histogram","4000","2","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3142","1","0","1997","0","1997","0","1997","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE0030b_PS [2014-02-10 19.14.29]/BAE0030b_PS.ctprofile.xml"
"3","BAEn1080_CaseStudy1_Prj2_Ult","0","459.6","-12.84","0","0","0","215","65","None","0","Reflection 225","0","Generic","true","39","52","80","76","39","52","80","76","0","100","1","0","20","2000","2000","Histogram","2829","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3142","1","0","1997","0","1195","0","1997","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE0030c_PS [2014-02-12 15.26.10]/BAE0030c_PS.ctprofile.xml"
"4","BAEn1020_CaseStudy1_Prj1_1028","0","481.4","-130.33","0","0","0","300","100","Tin","0.25","Reflection 320","4","Generic","true","11","13","80","76","11","13","80","76","0","100","1","0","20","2000","2000","Histogram","2000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3142","1","230","1734","0","1997","0","1997","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE0031_PS_MAS02 [2014-02-27 20.46.34]/BAE0031_PS_MAS02.ctprofile.xml"
"5","BAEn1020_CaseStudy1_Prj1_1028","0","478.17","-84.88","0","0","0","220","66","Copper","0.65","Reflection 225","0","Generic","true","11","13","80","76","11","13","80","76","0","100","1","0","20","2000","2000","Histogram","4000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3142","1","0","1999","0","1999","0","1999","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE0031_PS_MAS02_2 [2014-03-07 11.16.20]/BAE0031_PS_MAS02_2.ctprofile.xml"
"6","BAEn1020_CaseStudy1_Prj1_1028","0","483.37","-84.74","0","0","0","220","68","Copper","0.65","Reflection 225","0","Generic","true","77","534","143","177","77","534","143","177","0","100","1","0","20","2000","2000","Histogram","4000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3142","1","0","1999","0","1999","0","1999","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE032_PS_M35 [2014-03-14 16.04.38]/BAE032_PS_M35.ctprofile.xml"
"7","BAEn1070_CaseStudy1_Prj2_2.2.9","0","257.85","-199.95","0","0","0","140","21","None","0","Reflection 225","0","Generic","true","21","36","31","56","21","36","31","56","0","100","1","24","224","2000","1600","Histogram","2829","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","258","1997","575","1679","0","1597","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE1070 BAEn_CaseStudy1__Prj2_Lines1 [2013-12-10 10.06.09]/BAE1070_CaseStudy1__Prj2_Lines1.ctprofile.xml"
"8","BAEn1070_CaseStudy1_Prj2_2.2.9","0","271.13","-199.95","0","0","0","140","21","None","0.25","Reflection 225","0","Generic","true","21","36","31","56","21","36","31","56","0","100","1","24","224","2000","1600","Histogram","2829","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","258","1997","575","1679","0","1597","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE1070 BAEn_CaseStudy1__Prj2_Lines2 [2013-12-09 16.28.10]/BAE1070_CaseStudy1__Prj2_Lines2.ctprofile.xml"
"9","BAEn1070_CaseStudy1_Prj2_2.2.9","0","257.37","-200.22","-105","0","0","140","36","None","0.5","Reflection 225","0","Generic","true","21","36","31","56","21","36","31","56","0","100","1","24","224","2000","1600","Histogram","2829","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","60","1758","553","1516","0","1597","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE1070 BAEn_CaseStudy1_Prj2_Lines1 [2013-12-03 11.33.08]/BAE1070_CaseStudy1_Prj2_Lines1.ctprofile.xml"
"10","BAEn1070_CaseStudy1_Prj2_2.2.9","0","259.95","-199.96","-14","0","0","140","29","None","0.5","Reflection 225","0","Generic","true","21","36","31","56","21","36","31","56","0","100","1","24","224","2000","1600","Histogram","2829","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1784","371","1362","0","1597","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BAE/BAE1070 BAEn_CaseStudy1_Prj2_Lines1_2 [2013-12-04 15.57.16]/BAE1070_CaseStudy1_Prj2_Lines1_2.ctprofile.xml"
